Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteIsComp,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,BlackIsComp
FICS rated standard game,FICS freechess.org,2022.12.31,?,kunde,JaiMan,0-1,0:15:00.000,2027,40.1,C41,513225161,82,11:34:00,900+0,0:15:00.000,2014,,31.6,9.285714285714286,-113.25925925925925,-174.25925925925927,0.4802962962962962,1.937555555555556,2.208703703703704,[%emt 4.304] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,blore,rodnojo,0-1,0:15:00.000,2018,29.7,B20,513225141,84,11:20:00,900+0,0:15:00.000,1995,,20.0,68.58620689655173,483.7857142857143,336.6666666666667,1.4451428571428573,4.080857142857143,1.66837037037037,[%emt 4.06] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,MichaelOgbeide,StickyPawn,1-0,0:15:00.000,2120,60.9,A45,513225082,97,11:10:00,900+0,0:15:00.000,2140,,34.6,61.45454545454545,182.28125,294.38461538461536,1.5177812499999999,3.5463125,2.85140625,[%emt 2.687] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.12.31,?,DasR,MichaelOgbeide,0-1,0:15:00.000,2137,34.8,B23,513224875,38,10:58:00,900+0,0:15:00.000,1888,,58.6,15.76923076923077,-2.25,-293.5,1.1421666666666666,0.9800000000000001,2.0690833333333334,[%emt 6.696] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,MichaelOgbeide,DasR,1-0,0:15:00.000,1892,59.1,B01,513224805,25,10:52:00,900+0,0:15:00.000,2134,,34.9,54.44444444444444,32.5,315.875,0.4425,2.151125,2.185,[%emt 2.835] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Indrayoga,MichaelOgbeide,0-1,0:15:00.000,2124,35.1,B30,513224662,98,10:07:00,900+0,0:15:00.000,2059,,44.7,94.78787878787878,371.1875,-246.5625,2.33484375,3.0734375,1.506609375,[%emt 1.629] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,blore,kunde,1-0,0:15:00.000,2023,31.7,E34,513224616,59,10:14:00,900+0,0:15:00.000,1995,,20.0,62.4,240.21052631578948,583.8157894736842,0.6596315789473683,1.952894736842105,4.947157894736842,[%emt 73.624] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,kunde,blore,1-0,0:15:00.000,2003,20.0,C00,513224524,89,09:55:00,900+0,0:15:00.000,2015,,31.9,4.933333333333334,47.06896551724138,427.7586206896552,1.7078620689655173,1.395310344827586,0.6664310344827585,[%emt 1.531] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,blore,kunde,1-0,0:15:00.000,2024,32.0,D06,513224419,71,09:41:00,900+0,0:15:00.000,1994,,20.0,58.25,87.52173913043478,387.0869565217391,0.9854347826086957,1.5929999999999997,4.660586956521739,[%emt 43.964] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,exeComp,MrVali,1-0,0:15:00.000,1642,31.0,B01,513224112,30,08:56:00,900+5,0:15:00.000,2728,Yes,34.1,65.72727272727273,226.6,510.77777777777777,0.7888,2.1330999999999998,2.2602222222222226,[%emt 3.173] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,KnightMeKing,rodnojo,1-0,0:15:00.000,2026,29.7,A02,513223336,71,06:31:00,900+0,0:15:00.000,2022,,33.4,-54.125,-73.73913043478261,268.8875,0.4355652173913043,1.1310434782608696,1.1498913043478263,[%emt 1.115] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,rodnojo,KnightMeKing,1-0,0:15:00.000,2030,33.5,C00,513223301,53,06:26:00,900+0,0:15:00.000,2018,,29.8,153.77777777777777,184.0,574.5,0.5047647058823529,1.499235294117647,0.6765,[%emt 3.522] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,KnightMeKing,rodnojo,0-1,0:15:00.000,2009,29.9,A03,513223269,66,06:19:00,900+0,0:15:00.000,2039,,33.7,-20.08695652173913,-45.5,42.86666666666667,0.6988636363636362,0.9837727272727274,1.6291904761904759,[%emt 7.527] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,rodnojo,KnightMeKing,1-0,0:15:00.000,2048,33.9,C00,513223239,79,06:03:00,900+0,0:15:00.000,2000,,30.0,167.74074074074073,425.5769230769231,825.2857142857143,0.8252307692307692,1.9655,0.7675769230769229,[%emt 5.147] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Betin,rodnojo,0-1,0:15:00.000,1991,30.1,A46,513223170,58,05:51:00,900+0,0:15:00.000,2023,,28.6,21.65,5.052631578947368,-311.8421052631579,1.4792631578947368,1.0141052631578948,3.1807894736842104,[%emt 6.152] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,kunde,blore,1-0,0:15:00.000,2012,20.0,C00,513222896,74,04:45:00,900+0,0:15:00.000,2016,,32.0,43.28,280.5833333333333,490.16666666666663,0.9175,2.6456250000000003,1.2877291666666666,[%emt 0.903] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,blore,kunde,1-0,0:15:00.000,2025,32.2,C41,513222822,59,04:31:00,900+0,0:15:00.000,2003,,20.0,65.1,366.63157894736844,454.47368421052636,0.4213684210526316,5.13421052631579,1.787736842105263,[%emt 22.509] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,kamenozrout,SEPry,0-1,0:15:00.000,2218,66.3,E51,513222736,102,04:07:00,900+0,0:15:00.000,2161,Yes,40.7,1.7142857142857142,-331.97058823529414,-504.030303030303,2.2567941176470585,3.630382352941177,2.0103333333333335,[%emt 4.672] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,KnightMeKing,blore,0-1,0:15:00.000,1994,20.1,A02,513222700,108,04:05:00,900+0,0:15:00.000,2045,,34.3,-25.675675675675677,-128.44444444444446,-631.1428571428571,1.4643333333333333,1.637638888888889,0.7215714285714285,[%emt 1.332] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Sunartii,pikozrout,0-1,0:15:00.000,2212,50.1,B07,513222679,32,04:01:00,900+0,0:15:00.000,1907,,75.2,53.0,27.0,-203.05,2.4557,3.7553000000000005,6.79515,[%emt 0.3] White forfeits by disconnection,Yes
FICS rated standard game,FICS freechess.org,2022.12.31,?,JaiMan,Betin,1-0,0:15:00.000,2031,28.7,B00,513222612,1,03:55:00,900+0,0:15:00.000,2019,,40.2,30.0,0.0,0.0,,0.0,0.0,[%emt 0.0] Black forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.12.31,?,siebenstern,KnightMeKing,0-1,0:15:00.000,2038,34.5,C00,513222606,42,03:48:00,900+0,0:15:00.000,1989,,72.4,53.06666666666667,158.42857142857142,47.69230769230769,0.7472142857142856,2.2379285714285717,2.5333076923076923,[%emt 3.85] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Betin,JaiMan,0-1,0:15:00.000,2010,40.5,D02,513222605,64,03:40:00,900+0,0:15:00.000,2040,,28.8,3.272727272727273,-35.095238095238095,-184.85714285714286,0.8400476190476192,1.5922380952380955,3.2272857142857143,[%emt 5.077] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,SpeckEngine,Indrayoga,1-0,1:00:00.000,2077,45.6,C65,513222599,11,03:40:00,3600+0,1:00:00.000,1951,Yes,46.3,46.5,49.0,25.0,0.03666666666666667,2.9663333333333335,4.079,[%emt 74.2] Black forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.12.31,?,JaiMan,jjimalo,0-1,0:15:00.000,2001,73.4,B50,513222564,130,03:18:00,900+0,0:15:00.000,2018,,40.8,-22.545454545454547,-81.88372093023256,-653.3720930232558,1.8150465116279066,3.681139534883721,0.807279069767442,[%emt 1.782] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,GriffySr,paire,1-0,0:15:00.000,2232,166.8,C50,513222501,43,03:22:00,900+0,0:15:00.000,2132,Yes,43.7,47.666666666666664,166.92857142857142,711.3,0.37285714285714283,1.7637857142857143,0.5244999999999999,[%emt 0.1] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Achonk,blore,0-1,0:15:00.000,1977,20.2,A00,513222427,110,02:43:00,900+0,0:15:00.000,2029,,44.3,-89.64864864864865,-507.9166666666667,-346.97222222222223,1.6773055555555556,2.204694444444444,0.5205000000000001,[%emt 10.753] White forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.12.31,?,rodnojo,Betin,0-1,0:15:00.000,2032,28.9,C40,513222420,74,02:44:00,900+0,0:15:00.000,2016,,30.4,70.84,-87.25,-134.97916666666669,0.7431666666666668,2.6873333333333336,1.9837291666666668,[%emt 18.182] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Betin,rodnojo,1-0,0:15:00.000,2024,30.5,A48,513222373,73,02:36:00,900+0,0:15:00.000,2024,,29.0,-131.72,-185.70833333333334,103.04166666666667,0.8091249999999999,0.5625,1.1376249999999999,[%emt 13.625] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,blore,Achonk,0-1,0:15:00.000,2022,44.6,A00,513222371,0,02:37:00,900+0,0:15:00.000,1984,,20.3,,,,,,,White forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.12.31,?,txbeda,Betin,1-0,0:15:00.000,2023,29.2,A00,513222290,27,01:59:00,900+0,0:15:00.000,2172,,77.8,103.2,237.55555555555554,301.5,4.234333333333335,2.086444444444444,0.476875,[%emt 3.467] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Slek,blore,1-0,0:15:00.000,1990,20.3,C43,513222281,51,01:29:00,900+0,0:15:00.000,2101,,43.3,32.611111111111114,-8.647058823529411,203.875,2.194294117647059,1.685294117647059,8.5165625,[%emt 7.368] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.31,?,blore,Betin,0-1,0:15:00.000,2023,29.4,C20,513222125,86,00:39:00,900+0,0:15:00.000,2009,,20.5,-14.206896551724139,32.82142857142857,-36.98,5.043928571428571,3.9168928571428565,2.0247857142857137,[%emt 0.916] White checkmated,
FICS rated standard game,FICS freechess.org,2022.12.31,?,Sotoyo,exeComp,0-1,0:15:00.000,2728,33.9,B21,513222060,38,00:37:00,900+5,0:15:00.000,1842,,34.3,1.9230769230769231,-87.83333333333333,-229.61111111111111,1.4288333333333334,4.4485,2.213875,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.12.31,?,Betin,StickyPawn,0-1,0:15:00.000,2112,61.7,A46,513222025,86,00:08:00,900+0,0:15:00.000,2029,,29.5,95.13793103448276,58.642857142857146,-225.14285714285714,3.4592857142857136,2.969250000000001,2.113642857142857,[%emt 13.67] White resigns,
FICS rated standard game,FICS freechess.org,2022.12.30,?,exeComp,ArasanX,1/2-1/2,0:15:00.000,2732,33.8,C88,513221291,367,19:50:00,900+5,0:15:00.000,2728,Yes,33.8,11.195121951219512,0.02459016393442623,1.1065573770491803,3.1134508196721318,1.0518442622950819,0.5465,[%emt 0.1] Game drawn by the 50 move rule,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,ArasanX,exeComp,1/2-1/2,0:15:00.000,2728,33.9,B46,513220969,134,18:58:00,900+5,0:15:00.000,2732,Yes,33.9,43.48888888888889,20.272727272727273,10.863636363636363,3.4312272727272726,2.9825909090909093,1.0882727272727273,[%emt 12.963] Neither player has mating material,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,exeComp,ArasanX,1/2-1/2,0:15:00.000,2732,34.0,D12,513220438,78,17:29:00,900+5,0:15:00.000,2728,Yes,34.0,19.85185185185185,23.26923076923077,-2.04,3.7113076923076926,5.7522692307692305,3.2868,[%emt 0.163] Game drawn by mutual agreement,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,ArasanX,exeComp,1/2-1/2,0:15:00.000,2728,34.2,B42,513220154,173,16:38:00,900+5,0:15:00.000,2732,Yes,34.1,30.448275862068964,5.982456140350878,0.40350877192982454,3.609982456140351,2.557754385964912,0.9154736842105264,[%emt 0.1] Game drawn by stalemate,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,ynode,pikozrout,1-0,0:15:00.000,2214,50.1,E11,513219784,61,16:07:00,900+15,0:15:00.000,2644,Yes,142.8,42.142857142857146,156.1,506.05,0.7419499999999999,3.8595999999999995,3.5710499999999996,[%emt 36.653] Black resigns,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,GriffyJr,family,1-0,0:15:00.000,2099,48.9,D02,513219774,99,16:24:00,900+0,0:15:00.000,2073,Yes,34.4,25.970588235294116,101.63636363636364,519.0714285714286,0.31648484848484854,0.9916969696969696,0.35715624999999995,[%emt 0.1] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.12.30,?,geolas,Bjolin,1-0,0:20:00.000,1926,121.6,B23,513219738,67,15:36:00,1200+10,0:20:00.000,2146,,118.9,28.130434782608695,82.0,111.06818181818181,8.54040909090909,6.871090909090909,3.4866818181818187,[%emt 14.977] Black resigns,
FICS rated standard game,FICS freechess.org,2022.12.30,?,exeComp,ArasanX,1/2-1/2,0:20:00.000,2732,34.3,D11,513219456,239,14:52:00,1200+5,0:20:00.000,2728,Yes,34.3,-6.0,-2.392405063291139,-0.15822784810126583,3.7553164556962035,3.2274936708860755,0.4862531645569621,[%emt 15.286] Game drawn by repetition,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,HANOTODEWAMAUT,exeComp,0-1,0:15:00.000,2728,34.4,B22,513218728,44,14:17:00,900+5,0:15:00.000,1657,,57.2,-90.06666666666666,-491.0,-356.1666666666667,1.5907142857142857,3.143142857142857,2.143785714285714,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,exeComp,HANOTODEWAMAUT,1-0,0:15:00.000,1657,57.3,C40,513218639,25,14:09:00,900+5,0:15:00.000,2728,Yes,34.4,135.66666666666666,448.25,678.5,1.079375,5.088375,3.2645,[%emt 0.123] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.12.30,?,HANOTODEWAMAUT,exeComp,0-1,0:15:00.000,2728,34.4,D00,513218584,94,13:43:00,900+5,0:15:00.000,1657,,57.4,-59.40625,-495.0967741935484,-809.2608695652174,2.1442580645161287,3.5242580645161286,1.9071290322580643,[%emt 0.1] White checkmated,Yes
FICS rated standard game,FICS freechess.org,2022.12.30,?,mcstorytaller,damouno,0-1,0:15:00.000,2222,42.0,C02,513217935,146,12:17:00,900+0,0:15:00.000,1887,,28.4,7.36734693877551,66.16666666666667,-569.75,1.6912708333333335,1.4304791666666665,1.04275,[%emt 0.1] White resigns,
