Event,Site,Date,Round,White,Black,Result,BlackClock,BlackElo,BlackIsComp,BlackRD,ECO,FICSGamesDBGameNo,PlyCount,Time,TimeControl,WhiteClock,WhiteElo,WhiteRD,AvgEvalOpening,AvgEvalMiddle,AvgEvalEnd,AvgEmtOpening,AvgEmtMiddle,AvgEmtEnd,ResultComment,WhiteIsComp
FICS rated standard game,FICS freechess.org,2022.06.16,?,masterdylan,chessloon,0-1,0:15:00.000,2362,,64.5,B20,511883771,53,17:37:00,900+0,0:15:00.000,2387,67.1,-41.0,292.94117647058823,-513.8823529411765,0.4538823529411765,1.1361764705882351,1.3413529411764706,[%emt 8.777] White resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,chessloon,masterdylan,1-0,0:15:00.000,2402,,68.3,B21,511883736,32,17:35:00,900+0,0:15:00.000,2348,65.6,32.81818181818182,31.8,367.95,0.3869,0.42919999999999997,0.81795,[%emt 17.871] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,masterdylan,chessloon,1-0,0:15:00.000,2359,,66.7,B20,511883717,117,17:18:00,900+0,0:15:00.000,2390,69.6,-173.775,155.01282051282053,66.02631578947368,1.3247179487179488,1.9223589743589742,0.8762894736842105,[%emt 1.959] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,KnightMeKing,SunriseSearch,1-0,0:15:00.000,1973,,107.0,A02,511883476,126,16:32:00,900+0,0:15:00.000,2086,33.6,-91.27906976744185,-266.3333333333333,257.7073170731707,2.2346666666666666,1.9724761904761903,0.9086341463414633,[%emt 0.729] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,SRCorney,ChessSuprime,1-0,0:15:00.000,2025,,55.4,D00,511883222,49,16:12:00,900+0,0:15:00.000,1985,30.9,54.76470588235294,67.5,-22.125,0.7828749999999999,3.2864375,3.0849374999999997,[%emt 4.587] Black checkmated,
FICS rated standard game,FICS freechess.org,2022.06.16,?,family,hastrman,0-1,0:15:00.000,2049,Yes,31.0,D02,511882644,64,14:44:00,900+0,0:15:00.000,2060,44.8,12.636363636363637,18.61904761904762,-676.4736842105264,0.8582380952380952,2.606952380952381,1.9329999999999998,[%emt 1.562] White checkmated,
FICS rated standard game,FICS freechess.org,2022.06.16,?,MrVali,foggydew,1-0,0:15:00.000,2211,Yes,40.8,A45,511882146,65,13:26:00,900+0,0:15:00.000,1809,42.2,-43.45454545454545,22.333333333333332,80.04761904761905,1.6412380952380954,2.8267142857142855,1.3302857142857143,[%emt 25.114] Black forfeits by disconnection,
FICS rated standard game,FICS freechess.org,2022.06.16,?,gerichan,IFDThor,1/2-1/2,1:30:00.000,2124,Yes,30.9,B12,511881965,66,13:09:00,5400+90,1:30:00.000,1974,31.8,144.47826086956522,301.8636363636364,10.571428571428571,0.23063636363636358,1.666363636363637,1.075190476190476,[%emt 0.1] Game drawn by repetition,
FICS rated standard game,FICS freechess.org,2022.06.16,?,SEPry,hastrman,1-0,0:15:00.000,2048,Yes,31.1,D00,511881913,67,12:47:00,900+0,0:15:00.000,2301,38.7,8.08695652173913,450.0,902.5454545454545,3.0960000000000005,4.430181818181818,3.4410454545454545,[%emt 2.527] Black resigns,
FICS rated standard game,FICS freechess.org,2022.06.16,?,MrVali,foggydew,0-1,0:15:00.000,2210,Yes,40.9,D03,511881763,20,12:41:00,900+0,0:15:00.000,1810,42.3,5.142857142857143,23.5,-60.25,0.243,1.6923333333333332,2.3663333333333334,[%emt 10.379] White forfeits by disconnection,
